Name,Description,Lat/Lng,Tags,Region,Listing no
Skelbo Castle (Near Dornoch),"The fragmented remains of Skelbo Castle are easily spotted as you pass along by the shores of Loch Fleet. Park up next to the loch and you might be lucky enough to spot a seal colony lounging around in the sun. Along with the castle the area is teeming with much earlier ruins and to the northwest of the castle on Cnoc Odhar, overlooking the loch, are the remains of a chambered cairn. In Skelbo Wood behind the castle to the south west are the remains of a cairn and a broch. Within these woods you may also stumble across a large carved frog! From Golspie go S on teh A9, cross the loch, take the L fork to Embo down a single track road for 2 miles. Follow the road by the loch as the castle comes into view on the R, there is roadside parking. Alternatively, from Dornoch in the south continue along Station Rd for around 4 miles, turn L at the T-junction and continue to castle. Golspie Train Station then X99 to The Mound 3 ½ miles away.","57.9297, -4.0411","[""Good for picnics"", ""UNKNOWN:I"", ""Modern ruin"", ""Lovely walk"", ""Foraging"", ""Cycle path""]",North Scottish Highlands,7
Ardvreck Castle (And Calda House),"Jutting out into Loch Assynt, surrounded by the Quinag peaks and the Inchnadamph forest and nature reserve, Ardvreck Castle and neighbouring Calda House are in a shamelessly beautiful location. The Macleods of Assynt built Ardvreck around the late 16th century. It was home to a famous betrayal, as in 1650 the Royalist James Graham, the Marquess of Montrose, was tricked into its dungeon and later sent to Edinburgh to be executed. His ghost is said to haunt the castle to this day. Around three miles south east are the famous Bone Caves of Inchnadamph, where the bones of reindeers, bears, arctic foxes, lynxes and polar bears were found dating back over the last 45,000 years. Off A837 42 miles S of Durness, 25 miles N of Ullapool. From Ullapool head N on A835 for 17 miles, at A837 T-junction L to Lochinver. Continue for 7½ miles, past Calda House on L, to car park further on, between the two ruins, on L. The castle is 5 mins moderate (but sometimes wet) walk away and Calda House is 5 mins easy walk down the road.","58.1663, -4.9944","[""Good for picnics"", ""Close to parking"", ""Modern ruin"", ""Difficult path"", ""Dramatic"", ""Lovely walk"", ""Foraging""]",North Scottish Highlands,8
Dunnet Head (Near Dunnet),"Dunnet Head is the most northerly point in Great Britain and a far more rewarding end to the country than the tacky tourist area of John O’Groats. A short walk up the hill at the end of this peninsula will treat you to incredible panoramic views out to sea. During the Second World War the site would have been of utmost importance as an early warning station against invading German U-boats. The remains of many of the buildings from this time can still be seen, including the rifle range and ruined radar station. Dunnet Head is well signposted from Dunnet village on the A836. Turn N along a long single track lane, with few passing places. Drive carefully. Excellent for cycling. Towards the base of the peninsula, at Ham, is the large ruin of Ham Mill, which is on the risk register (KW14 8XP, 58.6431, -3.3125).","58.6711, -3.3767","[""Modern ruin"", ""Lovely walk"", ""Cycle path"", ""Foraging""]",North Scottish Highlands,9
Balnakeil Church (Near Durness),"Idyllically sited next to a white sandy beach near Durness, the ivy-covered roofless ruin that is Balnakeil Church is an atmospheric little place. It has a long history, for it was founded in the early 8th century, but the present building was built nearly 900 years later, in 1679. Look out for the skull and crossbones marking the tomb of the church’s most notorious resident Domhnull MacMhurchaidh or Donald MacLeod (sometimes MacMurdo). Domhnull was responsible for at least 18 murders and it was said he would throw the bodies of his victims into nearby Smoo cave. To ensure the security of both his soul and his body after he died, he bribed the local lord £1,000 to have his remains buried into the walls of the church. Nearby there also are the remains of old farms and crofters’ cottages nestled in the hillside, off the A838 approaching Durness. The remains of the old school can also be seen at the southern side of Loch Croispol. Head west from Durness visitor centre towards Balnakeil Craft Village for ¾ mile. Drive past the entrance to the village and follow the road as it veers R. Continue for ½ mile until you see the church L and the beach in front. Parking available on site.","58.5760, -4.7685","[""Good for picnics"", ""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""UNKNOWN:1"", ""Foraging"", ""Religious site""]",North Scottish Highlands,10
Badbea (Clearance Village),"The abandoned settlement of Badbea is an intriguing place to visit. The village developed in the 18th and 19th centuries during the Highland Clearances, when tenant farmers moved here after having been evicted from their homes by landlords who wanted the land for the more profitable sheep farming. A hundred years ago life would have been hard for the inhabitants of this cliffside village. During high winds they tethered both livestock and small children to posts to prevent them from being blown into the sea. It is a bleak location, and was finally abandoned in the early 20th century. All that remains is a series of evocative crumbling stone walls, plus a memorial to the families who once lived there. From Helmsdale drive N along A9 for 7 miles. Sign to the R for Badbea Historic Clearance Village; park here 58.1636, -3.5566. Around ½ mile moderate walk.","58.1603, -3.5503","[""Modern ruin"", ""Lovely walk"", ""Amazing wildlife"", ""Foraging"", ""Dangerous"", ""Ghosts/haunted""]",North Scottish Highlands,11
Dun Dornaigil (Near Hope),"A broch is a prehistoric type of fortification found only in Scotland, where there are more than 500 examples. This one is impressive as it’s almost 7 metres high, and it is also quite rare as the triangular stone above the doorway is still very much intact. From this ruin, there are stunning views of the Strathmore river and surrounding hills. From the A838 Tongue to Durness road, take the road heading S at Hope, adjacent to Loch Hope. The broch is just off the R of the road after 10 miles. Limited parking near the broch.","58.3663, -4.6391","[""Modern ruin"", ""Wild flowers"", ""Foraging""]",North Scottish Highlands,12
Road To Ruin (Helmsdale To John O’ Groats),"If you head north along the A9 from Helmsdale to Latheron (where the coast road becomes A99), the ruins come thick and fast. On both sides of the roads are the remains of old settlements, crofts and farms. Some can be explored while others will just flicker in and out of view as you drive or cycle past this vast treeless wilderness.","58.2834, -3.3681","[""Modern ruin"", ""Cycle path""]",North Scottish Highlands,13
"Gesto House (Struan, Skye)","Just off the beaten track in Skye is the little gem of Gesto House. The once elegant, but now dilapidated 18th-century house is in a wonderful setting, right next to the beach in a shingle bay of the same name. A low fence keeps you from wandering among the ruined walls, but you can still get a good view. Gesto was once a sizeable residence and would have served as a tacksman’s cottage. Tacksmen would rent their land from the local lairds and receive rent from tenants on the land - they were not always held in the highest esteem. On the little summit to the south east is Dun Taimh hillfort, from the top of which there are spectacular views across Loch Harport and out to sea. From Sligachan (junction A87 / A863) head W A863 for 11 miles, pass Coillore Farm Rd turning to R, take L straight after ‘Parking Viewpoint 1 mile’ sign. Pull in by roadside.","57.3432, -6.3950","[""UNKNOWN:I"", ""Dramatic"", ""Foraging""]",The Scottish Isles,1
"Kildalton Cross (And Dunyvaig Castle, Islay)","The Kildalton Cross is so intact it looks like it could have been carved a few short years ago. It has in fact been in existence for over 1,200 years, dating to the later part of the 8th century. The nearby roofless Kildalton church was in use during the 16th-century if not before. Climb up Ardmore Point for stunning views across the bay. On a rocky outcrop, down from the Lagavulin distillery, you’ll find the ruined 12th-century Dunyvaig Castle, once home to the Chiefs of the Clan Donald, Lord of the Isles. A visit to the area would not be complete without visits to the three distilleries of Ardbeg, Lagavulin and Laphroaig clustered around Port Ellen (islaywhiskies.com). These three single malt whiskies are favourites of connoisseurs the world over. Ferry to Islay from Oban calmac.co.uk, 0800 0665000. From Port Ellen take A846 E past Port Ellen Primary School. Continue for 2½ miles to the Lagavulin distillery. Take the next R, park at the end of the road and follow the field over to the castle. For Kildalton continue past the Ardbeg distillery and follow the Historic Scotland signs for 6 miles to Kildalton Cross.","55.6336, -6.1230","[""Modern ruin"", ""Dramatic""]",The Scottish Isles,2
"Dunscaith Castle (Tokavaig, Skye)","A visit to Dunscaith Castle (Dun Sgathaich in Gaelic) feels adventurous. The road leading down to the ruin is treacherous - it is single track with blind bends, and drops down to the loch. At times it feels like driving along a roller-coaster and as such cycling to the castle is advisable! You cross a rocky beach, to arrive at the ruin, entered via a tumbledown bridge with less than a foot of walkway to negotiate. The grassy interior feels safer and the views across to the islet of Eilean Ruairidh and the mountains of the Strathaird peninsula make it all worthwhile. The castle is accessed via a looped single track road off A851 near Teangue. To minimise chance of meeting oncoming traffic, turn onto it just S of Kilbeg and exit it via Toravaig, just N of Teangue. After turning off at Kilbeg, follow road for approx 7½ miles. You’ll see some large rocks in a field and tracks leading off to the L. Parking difficult, don’t block farm traffic. 5-10 mins moderate walk following hand-painted ‘Footpath to castle’ sign above postbox.","57.1365, -5.9757","[""UNKNOWN:R"", ""Modern ruin"", ""Lovely walk"", ""Cycle path""]",The Scottish Isles,3
Oronsay Priory (Isle Of Colonsay),"There are just 20 square miles making up the Isle of Colonsay, a remote jewel of the Inner Hebridean Islands. The island’s white sandy beaches, crystal clear waters and visiting wildlife make a visit a unique experience. The roofless remains of this 14th-century Augustinian priory stands on the site of a 6th-century monastery. Much of the original buildings remain including the priory church, the refectory and the chapter house. There are numerous grave slabs with effigies of their inhabitants and two large carved stone crosses. Caledonian MacBrayne run a ferry service from Oban (calmac. co.uk). The isle of Oronsay is only accessible at low tide, check tide times to avoid getting stuck on the island. From ferry terminal follow B8086 W for ¾ mile until you see another straight road to the L, B8085. Follow this S for 2 miles to coast where there is a parking space. Check tide times, put on your wellies and paddle across to the island. Join road the other side and turn R in ½ mile. Continue for roughly 1 mile to the ruins.","56.0199, -6.2547","[""Modern ruin"", ""Ghosts/haunted"", ""Dangerous"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Religious site""]",The Scottish Isles,4
Trumpan Church (Skye),"The ruined Trumpan church is the very last point on the road heading north on the Waternish Peninsula. It’s a lonely little place and on the journey it feels as if you are going to fall off the end of the earth. Apart for one of the gable ends, little remains of the church, for it was here that the MacDonalds massacred their rival MacLeods in 1578 by setting fire to the building during a service. Down from the church is a large, ruined farm complex dominating the view towards Ardmore Bay below. If you can negotiate your way past the Highland cows, there is a great walk around the back of the farm and around Ardmore point. From Dunvegan head E and N on A850 for 3½ miles, then join B886 to L for 7 miles to car park at end of road.","57.5545, -6.6409","[""Good for picnics"", ""Close to parking"", ""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Religious site""]",The Scottish Isles,5
"Mousa Broch (Mousa, Shetland)","The huge 13.3-metre-tall drystone broch tower on the isle of Mousa is the largest and best preserved of all the brochs in Scotland. Considering its exposed position and the length of time it has been there - it dates back to the Iron Age - it is remarkable how intact the ruin is. The broch is completely open to the public and the inside chambers can be explored. The broch is by no means the only ruin on the island; take a good walk around the loch near the broch to find the ruins of crofters’ houses and the ruin of a Lerwick merchant’s house. Brochs are only found in Scotland, they are hollow-walled structures. Their purpose is hotly disputed by historians and archaeologists. Some believe them to be defence whilst others claim them to be more of a show of wealth than power – more of an Iron Age stately home. Mousa has breeding colonies for seabirds and the stretch of sea approaching the island, Mousa Sound, is the best place in the country to spot harbour porpoises. Mousa is only accessible by boat from Sandsayre pier, Sandwick, on the main island, in summer (mousa.co.uk).","60.0080, -1.2270","[""Modern ruin"", ""Wild flowers""]",The Scottish Isles,6
"Windhouse Ruin (Mid Yell, Shetland)","The Windhouse is a large, abandoned, supposedly haunted croft and one of many ruins on the remote island of Yell. The house has been derelict for nearly a hundred years and has a long, dark history. In 1887 the skeleton of a large man was found at the back of the house by workmen. The absence of a coffin suggested murder. After this incident the house became increasingly hard to let. It was struck by lightning in 1898 and despite a refit it was abandoned in the 1920’s. Yell is a favourite for otter-spotters, having been dubbed the otter capital of Britain. It also has a large population of Arctic terns along with lapwings, brightly coloured eiders, various birds of prey and twites. The ferry to Yell runs from Toft in the N of mainland Shetland. shetland.gov.uk. From Yell ferry terminal bear L on A968 for 9 miles. You’ll pass the ruin high on your L, continue to grey/white cottage L and white farm building R, then follow track to ruin.","60.6075, -1.1092","[""Modern ruin"", ""UNKNOWN:I"", ""Dramatic""]",The Scottish Isles,7
"Skara Brae (Sandwick, Orkney)","Inside the ancient homesteads at Skara Brae it is easy to make out where inhabitants had their beds, where they sat, where they lit their fires and where they stored their food. These along with the sight of the built-in stone dressing tables, which are still largely intact, somehow connects us with the villagers who would have lived here a staggering four to five thousand years ago. Skara Brae is just one small part of the Heart of Neolithic Orkney UNESCO World Heritage site which includes the chambered tomb of Maes Howe and two ceremonial stone circles. Ferry to Orkney pentlandferries.co.uk and northlinkferries. co.uk. From Kirkwall head W on A965 for 10 miles, turn R onto B9055 towards Bay of Skaill, past the Standing Stones of Stenness, past the giant megalith and cross the bridge. Continue past the Ring of Brodgar stone circle. At junction, take B9056 to the visitor centre. There is a cafe, a shop and car parking on site. Village is 5 mins easy walk away.","59.0489, -3.3355","[""Pay to enter"", ""Good for picnics"", ""Close to parking"", ""Modern ruin"", ""Wild flowers""]",The Scottish Isles,8
"Knock Castle (Teangue, Skye)","Knock Castle, also known as Knepp castle, Caisteal Uaine or Caisteal Camus, is a seldom-visited place on a rocky headland jutting out into Knock Bay. The walls are covered in ivy and sapling trees are beginning to emerge from the crumbling rock. The most substantial part of the castle, one of the outer walls, dates back to the 15th century. There is evidence this was once the site of an Iron Age fort. Overlooking the Sound of Sleat, there is a peace and tranquillity about his place. To one side is a dangerous rocky cleft looking down to the seaweedcovered shore below. Locals talk of an inquisitive sea otter who regularly swims up the coast from bay to bay stopping off in Knock Bay on his round trip to feast on shellfish. Dusk and dawn are the best times to catch a glimpse of otters but failing a visit, the sunrise over the sea won’t let you down! Teangue is on A851 N of Ardvasar. Park in lay-by outside converted church 57.1118, -5.8539, IV44 8RE. Walk away from the village, along road to N, take the first R down to a farm. Follow road as it curves R past barn, past cottage and caravan. Follow headland to castle.","57.1102, -5.8472","[""Modern ruin"", ""Foraging"", ""Dangerous""]",The Scottish Isles,9
Finlaggan (Ballygrant),"On this windswept corner of Islay across a little wooden bridge lie the ruins of Finlaggan. During the 13th and 14th centuries this was the historic seat of the Lords of the Isles and where the Council of the Islands met. Few leave disappointed from this area: even if the weather is bad, there is enough to hold your attention. On a brighter day it is the perfect place to have a picnic and read all the many noticeboards depicting the history of the area. There is a visitor centre here and the entrance fee helps with the upkeep of the ruins. Visit as a stop-off to or from the ferry. From Port Askaig take A846 S for 3 miles, turn R at Historic Scotland sign down single track road take next L (signposted) after ½ mile; continue to visitor centre. The ruins are ¼ mile from here, 5 mins easy walk.","55.8352, -6.1726","[""Dramatic"", ""Modern ruin"", ""Foraging"", ""Lovely walk"", ""Cycle path"", ""Pay to enter""]",The Scottish Isles,10
Huntly Castle (Huntly),"Huntly Castle is a majestic ruin in a beautiful setting. It is situated within open parkland, and on a sunny day it is possible to relax under the trees while children play happily around the park. If the weather takes a turn you can seek shelter in the part-ruined castle itself, where there are many rooms to explore. Climb the old keep for great views out across the green countryside. The castle was home to the Clan Gordon, and King Robert the Bruce was said to have been a guest in 1307. The stone carving of the family crest on the main tower is one of the highlights of a visit. If you have indulged a little the night before, the Park Lane Café, The Ward, AB54 4QU, does a spanking fry-up. Off A96 between Aberdeen/Inverurie to S and Keith/Elgin to N. From Huntly Bypass, A96 junction with A97, turn N into town, follow George V Ave and continue as it turns into Gordon St and Castle St. Parking on site.","57.4549, -2.7812","[""Good for picnics"", ""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Dangerous"", ""English Heritage"", ""Pay to enter""]",Aberdeenshire & Cairngorms,1
Newark Castle (St Monans),"Between the villages of St Monans and Elie, on the cliff side looking out to the Firth of Forth, are the ruins of Newark or St Monans Castle. It is accessible along a fantastically scenic coastline. The castle is in a rapid state of decay and despite parts of it being fenced off there is still much to explore including the tower and staircase. There are two routes to the castle, one at high tide and one at low. A half mile from Newark Castle, along the coast path, are the ruins of Ardross Castle and 2 ½ miles further on, through the picturesque harbour village of Elie, are the single gable ruins of Craigforth Chapel. Take A915 to Upper Largo, E A917 (or bus) to St Monans. In village take R to Station Rd, L to car park in Hope Place. Walk back down Hope Place, along Braehead ½ mile, L onto Burnside to join coastal path. 16 mins moderate to difficult walk.","56.2011, -2.7781","[""UNKNOWN:R"", ""UNKNOWN:I"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Foraging"", ""Dangerous"", ""Ghosts/haunted""]",Aberdeenshire & Cairngorms,2
Dunnottar Castle (Stonehaven),"Dunnottar Castle is arguably the grandest, most romantic, most dramatic, most awe-inspiring of all the castles in Scotland. If you see just one castle during your visit to this area this has to be it. It rises up out of the North Sea on a rocky outcrop, and you can take the steep, winding path to the castle, taking advantage of all the photo opportunities on the way. For the Scots, Dunnottar is a proud place. It was here that the army of the English military leader Oliver Cromwell was held off for eight months - until cannons were brought in, giving the castle’s garrison no choice but to surrender. During this time, and much to Cromwell’s annoyance, the Scottish crown jewels (now in Edinburgh Castle) were smuggled out and buried in Kinneff Church (where they remained for 11 years). 19 miles S of Aberdeen off A90 near Stonehaven. From A90 Stonehaven bypass drive 2 ½ miles to A92 towards Montrose/ Arbroath. Continue for 1 mile, turn R at Historic Scotland sign for Dunnottar Mains. Follow road to car park. Signed 20 mins difficult walk to the castle via the headland and steep stairs. Bus X7 from Aberdeen.","56.9460, -2.1970","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""English Heritage"", ""Pay to enter""]",Aberdeenshire & Cairngorms,3
"Knock Castle, (Near Ballater)","This is a large three storey (four with attic) ruined tower house, on top of a hill or knoll, about a mile west of the town of Ballater within the Cairngorms National Park. The castle, once home to the Gordons of Abergeldie, has a long and sometimes bloody history. It is said that when the Gordons wandered onto the neighbouring Forbes clan land to cut peat the Forbes saw red and attacked with full force. The heads of seven Gordon brothers were placed on top of their peat spades as examples. On hearing the news of their death Alexander Gordon, their father, met his own end as he tumbled down the castle staircase. From Ballater take Bridge St to cross the river, SE out of town. Turn R to join the B976. The road bends R back over river. The road turns L before arriving at a staggered crossroads with a red post box. If you can safely park here do so and take track opposite the post box up the hill to the castle.","57.0428, -3.0690","[""Lovely walk"", ""Cycle path"", ""Dangerous""]",Aberdeenshire & Cairngorms,4
Lochindorb Castle (Near Grantown On Spey),"Between Nairn and Grantown-on-Spey is a fairytale castle on an island in the centre of the still waters of Lochindorb. Rather than the dramatic mountains which dominate the land to the south, it is flanked by gentle hills. The castle is set among a blanket of purple heather and vast moorland. There is a stark beauty to this area; the loch feels remote and quite unlike anywhere else in the region. The terrain makes it hard to navigate right around the loch but you can wander by the roadside on its eastern side. Lochindorb is a worthy place for a picnic, and a pleasant diversion off the 23-mile Dava Way walking trail. From the A95 at Speybridge, turn to Grantown-on-Spey, and go N to the A939. After 8 miles, and just before Dava, turn L to Lochindorb, 3 miles. Or from Nairn, take the A939 S, and turn R just after Dava. Parking beside the loch.","57.4058, -3.7087","[""UNKNOWN:I"", ""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife""]",Aberdeenshire & Cairngorms,5
New Slains Castle (Near Cruden Bay),"This rather sinister looking clifftop castle was said to be the inspiration for the castle in Bram Stoker’s book ‘Dracula’. Despite being one of the most famous ruined castles in Scotland, its remote location means you are quite likely to have the place to yourself. Wander down to the basement and nose around the crypt-like wine cellar or just explore the vast interior. New Slains is a mishmash of architectural styles and materials, adding a chaotic beauty to the site. However it is the drama of the cliffs and crashing North Sea below that are the highlight of a visit. Near Cruden Bay, off A90 24 miles N of Aberdeen and 8 miles S of Peterhead. From Cruden Bay drive N on A975/Errolston Road for 1 mile. Drive past ruined farm buildings to a small car park on R as road bears sharply to L. Follow seashell-covered track for ½ mile/10 mins moderate walk to castle. Alternatively, park in town and walk down Castle Rd, just off Errolston Rd near phone box for ½ mile/12 mins moderate walk. Bus 63 Aberdeen-Cruden Bay-Peterhead, and bus 747 from Peterhead.","57.4152, -1.8324","[""UNKNOWN:I"", ""Modern ruin"", ""Difficult path"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Ghosts/haunted"", ""Cycle path""]",Aberdeenshire & Cairngorms,6
Ruthven Barracks (Kingussie),"When the sun catches the ruin of Ruthven Barracks the entire building seems to glow in an ethereal light. The buildings sit on top of a large hill which was home to a 13th-century castle. The barracks are set in spectacular scenery, flanked by pasture, moorland, far-off mountains and the meandering River Spey. It is a large, expansive ruin and completely unstaffed, meaning you can run around and explore to your heart’s content. 1½ -2 miles north behind the barracks are the peaks of Creag Bheag and Creag Mhor which can make for a good afternoon’s walk. For the more adventurous you can take the Wildcat Trail around nearby Newtonmore (see walkhighlands.co.uk). Situated just off National Cycle Network Route 7. Kingussie railway station is 1 mile/15-20 mins moderate walk via B970. Take B970 S of Kingussie and park in car park off road. Moderate walk 3 mins uphill.","57.0712, -4.0390","[""Good for picnics"", ""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""English Heritage""]",Aberdeenshire & Cairngorms,7
Esslemont Castle (Ellon),"This 14th-century castle, once home to the WolrigeGordon family, lies almost hidden by the roadside. It has become engulfed by trees and unless you are vigilant driving past (or you visit in the winter) you may completely miss it. The encroaching wilderness makes for a real micro-adventure as you fight your way through the thicket to explore the castle. Situated by side of the A920 between Ellon and Pitmedden, 5 mins drive from the centre of Ellon. From the town head S at the roundabout, over the river, opposite Buchan Hotel. Continue out of town, you’ll pass a grey stone building on your right with a blue gate. The castle is hidden in a thicket on the corner of the main road and a lane leading right.","57.3580, -2.1140","[""Modern ruin""]",Aberdeenshire & Cairngorms,8
"St Fillan’s Church (Kirkton Barns, Tayport)","Also known as Forgan Church, St Fillan’s is a lovely little ruined church a little under two miles south of Tayport. If you walk, cycle or drive, through the Tentsmuir Forest down to the beach at Tentsmuir Point (approx. 3½ - 4 miles moderate walk) you may be lucky enough to see seals basking in the sun. From Tayport, S on B945 1¾ miles, take first R after turning to Kirkton Barns B&B onto single track road. Follow it past two sets of houses, until you see the entrance to a big house. Limited parking by side of the road. Follow the stone wall and grass path to the church yard, signposted Forgan Cemetery. Or from Leuchars NW on A919 1 mile, turn R to join B945, 2 ¼ miles, past wood and take first L single track road after entrance to Morton Lochs (Caravan Club sign R). BBuses between Tayport and Leuchars will stop by request at the Morton Loch road.","56.4224, -2.9001","[""Close to parking"", ""Dramatic"", ""Dangerous""]",Aberdeenshire & Cairngorms,9
Scottish Fireplace (Nr Grantown On Spey),"A fireplace and chimney with the Scottish flag painted on its breast. It is nothing more than that. Built for construction workers who would throw up a makeshift shelter and cook and keep warm during poor weather. Approx 8 miles S of Grantown on Spey along A939 old military road. Or, from Tomintoul it is 6 miles NW on the A939. Parking is limited and in heavy traffic can be dangerous.","57.2632, -3.4906","[""Modern ruin"", ""Dramatic""]",Aberdeenshire & Cairngorms,10
Kirkton Of Culsalmond,"A roofless 18th-century church, abandoned in the early 20th century. Look out for the old mort and watch houses in the graveyard, built to protect newly buried bodies from body snatchers. Between Huntly and Pitcaple off A96. From Huntly take A96 S towards Aberdeen and Banff. After 10 miles turn L to Oldmeldrum on A920. Take first L to turn off A920 at Lawrence Rd. Pull in on next corner by side of Lawrence and Cadgers Rd. Church is in front of you. Bus 10 Inverurie-Huntly.","57.3854, -2.5836","[""Close to parking"", ""Modern ruin"", ""Religious site""]",Aberdeenshire & Cairngorms,11
Achalader Mausoleum,"Situated between the Loch of Clunie (¾ mile SW) and Loch of Drumellie (½ mile SE) Achalader Mausoleum is well positioned for an afternoon’s walking. It is hidden amongst the trees, over a brook, just off a minor road. On a misty day exploring this creepy overgrown graveyard, with its wrought-iron fencing and large, carved, stone pillars makes you feel as if you are a star in your own horror film. Many still visit this area in search of the grand house which once stood here. Sadly the house has been levelled in recent years and now all that remains is the mausoleum that once served the family who lived there. 3 miles W of Blairgowrie, turn off A923 past Kinloch and Loch of Drumellie at white cottage where main road turns sharply to the L. Park on the L side of road as the trees drop away. The Mausoleum is on your R through the trees. Bus 60 from Blairgowrie to Dunkeld, 3 stops; get off at caravan park, then easy walk of just over a mile.","56.5895, -3.4209","[""Dramatic"", ""Lovely walk"", ""Dangerous""]",Aberdeenshire & Cairngorms,12
Castle Stalker (Portnacroish),"On a tiny islet in the sea loch of Loch Linnhe, fringed by mountains, the romantic setting of this privately-owned castle has meant that it has appeared on many postcards, biscuit tins and ‘Visit Scotland’ posters. It also appeared in Monty Python’s ‘Holy Grail’ as “Castle Arggghhh” inhabited by John Cleese and his taunting French jibes. In its present form it dates from the 15th century. It’s very picturesque, and you can take photos from the nearby A828 or the Castle Stalker View Café. For the adventurer or the Monty Python fanatic, a visit is a must. (Limited tours in summer. See www.castlestalker.com). From Connel head 13 miles N on A838 to Portnacroish. After sign for Appin Electric Bike Hire, take next L, just before the road turns right. Follow road to end, turn R and continue past old station platform to boathouse. Park by road and walk to boathouse. If coming from Ballachulish, 14 miles S on A838, turn R in Portnacroish after Castle Stalker View Café and sharp left bend.","56.5715, -5.3861","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Pay to enter""]",Southern Scottish Highlands,1
Glenelg Brochs (Dun Telve And Dun Troddan),"The twin brochs of Dun Telve and Dun Troddan are two of the best examples of Iron Age brochs in Scotland. Part of the challenge of seeing these brochs is just getting to the area. It is in a remote corner of Scotland, through the Ratagan Pass, down single-track roads past mountains, lochs and breath-taking scenery. The remoteness of this area brought the writer Gavin Maxwell here to write his classic ‘Ring of Bright Water’ about a family of otters. For a bit of luxury in the area, the Glenelg Inn, IV40 8JR, 01599 522273, serves soups and salads for reasonable prices, or more expensive mains. Nearby is Bernera or Glenelg Barracks, IV40 8JR, two very large twin Hannoverian buildings (fenced off for safety reasons). There are large trees growing out of the top of the three storey barracks and you can get close enough to see much of the structure. Walk up the lane from the shop, continue on the footpath until you see the Barracks. From Dornie at the top of Loch Duich, home of Eilean Donan Castle, take the A87 S for 7 miles. At Shiel Br (shop and filling station, IV40 8HW), R onto the Old Military Rd. Continue 8¾ miles until the white cottages and signs for the ferry, here veer L following signs to Glenelg. Continue through Glenelg for 3½ miles, Until you see Dun Telve R; continue to Dun Troddan, L.","57.1946, -5.5867","[""Modern ruin"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""Foraging"", ""Dangerous"", ""Ghosts/haunted"", ""Wild flowers"", ""English Heritage""]",Southern Scottish Highlands,2
Urquhart Castle (Drumnadrochit),"One of Scotland’s most famous ruins, Urquhart Castle has held its position overlooking the world famous Loch Ness for around 800 years. It is a major tourist attraction; it has a large gift shop, a cafe and information panels giving the castle’s history. Like many castles in Scotland, Urquhart has found itself under the rule of both the English and the Scots, and yo-yoed between them during the late 13th and early 14th centuries. In 1333 following the Battle of Halidon Hill, along with Dumbarton, Lochleven, Kildrummy and Loch Doon, it was one of just five castles in Scotland to be held by the Scots themselves. Signed off the A82 just S of Drumnadrochit, 16½ miles S of Inverness and 17 miles N of Fort Augustus.","57.3242, -4.4423","[""Good for picnics"", ""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""English Heritage"", ""Pay to enter""]",Southern Scottish Highlands,3
Kilchurn Castle (Loch Awe),"Kilchurn (pronounced Killern) is an almost impossibly romantic castle ruin on the banks of Loch Awe, amongst a stunning natural mountain backdrop. Paddling out into the shallow waters of the sandbank surrounding the castle is a must on a sunny day. The banks of the loch, in the outgrounds of the castle, offer idyllic picnic spots under lichen-covered trees. Sir Colin Campbell, first Lord of Glenorchy, built the castle in 1450 with improvements and additions made in the 16th and 17th centuries. The castle now sits in shallow water and is attached to the mainland, but right up until 1817 it would have been on its own island. Around the site there are detailed information panels on the castle’s history. Head N from Lochawe on A85 towards Dalmally. Cross bridge and almost immediately take first sharp turn R (not signposted). Follow track to car park. Or, from Dalmally, 2 miles on A85 W past B&B and golf course, ignore L turn to Inveraray A819 and take next unmarked L. It’s a 10 mins easy walk along a footpath that leads under a railway bridge to the castle.","56.4036, -5.0289","[""Good for picnics"", ""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""English Heritage""]",Southern Scottish Highlands,4
